slug,titulo,precio_web_usd,quote_only,duracion_web,categoria_sheet,estilo_viaje,gsc_clics_16m,precio_otas_interno_usd,precio_gyg_usd,precio_viator_usd,margen_pct_estimado,notas_ops,fuente_precio_web,validado_ops,fecha_snapshot
sacred-valley-machu-picchu-2d,≫ Sacred Valley and Machu Picchu - Unforgettable Tour 2d,0.0,yes,2D/1N,,Trekking,,,,,,,scrape JSON-LD / #prices,no,2026-09-01
sacred-valley-of-the-incas-tour,Sacred Valley of the Incas Tour,80,no,2D/1N,,,,,,,,,scrape JSON-LD / #prices,no,2026-09-01
sacred-valley-short-inca-trail-3d,3-Day Sacred Valley & Short Inca Trail Tour,620,no,,Inca Trail Treks,Trekking,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
salkantay-trek-4-days,4-Day Salkantay Sky Camp Trek to Machu Picchu,699,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Alternative Inca Trail Treks,Trekking,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
short-inca-trail-2d,2-Day Short Inca Trail to Machu Picchu,565,no,,Inca Trail Treks,Trekking,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
short-inca-trail-with-amazon-rainforest-8d,8-Day Peru Itinerary with Inca Trail & Amazon Jungle,1775,no,8D/7N,Tours in Peru,Combined Travel,9,,,,,,scrape JSON-LD / #prices,no,2026-09-01
spectacular-cusco-7-days,Cusco 7-Day Itinerary with Sacred Valley & Inca Heritage,886,no,1 day,,"Combined Travel, Traditional",1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
spectacular-peru-10d,"10-Day Peru Itinerary with Machu Picchu, Cusco & Puno",1303,no,10D/9N,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
super-sacred-valley-tour,Sacred Valley of the Incas Tour,80,no,2D/1N,,,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
the-classic-salkantay-trek-5d,5-Day Salkantay Sky Camp Trek to Machu Picchu,731,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Alternative Inca Trail Treks,Trekking,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
tour-by-bike-maras-moray-and-salineras,Maras & Moray Bike Tour from Cusco,220,no,1 day,Day Tours in Cusco,"Adrenaline, Traditional",,,,,,,scrape JSON-LD / #prices,no,2026-09-01
tour-south-valley-cusco,South Valley in Cusco: Discover Hidden Gems,60,no,2D/1N,,,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
tour-waqrapukara-cusco,Tour Cusco - Waqrapukara - Cusco,90,no,2D/1N,,,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
trek-humantay-salkantay-2d,2-Day Humantay Lake & Salkantay Pass Trek,350,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Inca Trail Treks,Trekking,12,,,,,,scrape JSON-LD / #prices,no,2026-09-01
unforgettable-machu-picchu-8d,8-Day Machu Picchu Itinerary with Cusco & Sacred Valley,982,no,8D/7N,Tours in Machu Picchu,Traditional,4,,,,,,scrape JSON-LD / #prices,no,2026-09-01
wonder-of-peru-coast-andes-and-rainforest-13d,"13-Day Peru Itinerary with Coast, Andes & Amazon Adventure",2159,no,13D/12N,Tours in Peru,Combined Travel,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
wonderful-peru-12-days,"12-Day Peru Tour: Machu Picchu, Puno & Arequipa",1561,no,12D/11N,Tours in Peru,Combined Travel,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
